,user,text,favorite_count,retweet_count,created_at
80,elonmusk,@stevenmarkryan Long-term thinking will be rewarded,10674,911,2023-04-10 00:09:53+00:00
81,elonmusk,"@EndWokeness We need to add more granularity to editorial influence, as it varies greatly. I don’t actually think the BBC is as biased as some other government-funded media, but it is silly of the BBC to claim zero influence.

Minor government influence in their case would be accurate.",25450,2236,2023-04-10 00:08:20+00:00
82,elonmusk,@TheRabbitHole84 🤣🎯,3690,218,2023-04-10 00:03:22+00:00
83,elonmusk,@WallStreetSilv I do actually follow the BBC – they have some great material,12579,377,2023-04-09 23:01:45+00:00
84,elonmusk,@TimSweeneyEpic It’s coming,5269,408,2023-04-09 22:55:05+00:00
85,elonmusk,@WallStreetSilv What does BBC stand for again? I keep forgetting.,214503,12995,2023-04-09 22:33:51+00:00
86,elonmusk,"Candle in rocket engine lasts ~0.1 sec

Analogies are not physics https://t.co/mhAPFnVv9p",58416,4036,2023-04-09 22:21:52+00:00
87,elonmusk,"A maximally curious AI is probably best.

The cat lobby will oppose this, naturally, but it will receive strong support from monkeys name George.",57594,5998,2023-04-09 22:00:23+00:00
88,elonmusk,@drefanzor @TitterDaily 🤣,1849,93,2023-04-09 21:50:03+00:00
89,elonmusk,I’m almost there https://t.co/Sxb11nbtnh,258936,16631,2023-04-09 21:44:20+00:00
90,elonmusk,"@TitterDaily This platform will neither promote nor limit their accounts, but we will rapidly address any attempts at gaming the system.

It is a weak move to engage in censorship just because others do so. Letting our press be free when theirs is not demonstrates strength.",66734,6589,2023-04-09 21:29:45+00:00
91,elonmusk,@TrungTPhan Wd sync w ur iPhone &amp; tell u when 2 💩,2040,117,2023-04-09 21:10:41+00:00
92,elonmusk,@TrungTPhan @pbarbieri 🤣,907,47,2023-04-09 21:08:13+00:00
93,elonmusk,@TrungTPhan I’d buy one tbh,29494,897,2023-04-09 21:07:52+00:00
94,elonmusk,"@TheRabbitHole84 He must really want it to pay so much, but what does he want?",10997,1307,2023-04-09 21:06:03+00:00
95,elonmusk,"@DavidSacks @VivekGRamaswamy @GregAbbott_TX Yeah, wrong on many levels. Tesla is increasing production rapidly in Texas, California &amp; Nevada.

Our competitors require subsidies, not us. That said, if competitors get subsidies, Tesla should get them too.

Tesla’s competitive position would improve if all subsidies ended.",7949,708,2023-04-09 20:34:00+00:00
96,elonmusk,"@AnonOpsUnited I’m told Putin called me a war criminal for helping Ukraine, so he’s not exactly my best friend.

All news is to some degree propaganda. Let people decide for themselves.",101678,8354,2023-04-09 20:03:40+00:00
97,elonmusk,"@JessicaTetreau Wow, almost 10 years since the groundbreaking!",9696,469,2023-04-09 19:49:49+00:00
98,elonmusk,@Space_Strategy @ScottAdamsSays Starship,1433,90,2023-04-09 19:47:49+00:00
99,elonmusk,@TheMVPGoat @ScottAdamsSays That is surprisingly common these days,1426,93,2023-04-09 19:47:10+00:00
100,elonmusk,@ScottAdamsSays Beats me. Some amount of ivory tower pseudointellectualism is probably to blame.,20141,1807,2023-04-09 19:44:18+00:00
101,elonmusk,@TheRabbitHole84 @ScottAdamsSays True,2485,137,2023-04-09 19:40:42+00:00
102,elonmusk,Happy Easter!,310391,22920,2023-04-09 18:10:58+00:00
103,elonmusk,"@TrungTPhan Wow. Oh well, still awesome.",67438,1806,2023-04-09 17:33:04+00:00
104,elonmusk,"@paulg Our lifespan is programmed into our genes, just like it is for fruit flies or pets.

Fruit are already vegan &amp; even if they do yoga every day &amp; take every supplement, they still only live 50 days.",43147,3952,2023-04-09 17:32:15+00:00
105,elonmusk,@ScottAdamsSays I am told that his son is de facto in charge,34573,3983,2023-04-09 17:28:25+00:00
106,elonmusk,Tesla opening Megapack factory in Shanghai to supplement output of Megapack factory in California https://t.co/hDpqoyNeOx,58651,6299,2023-04-09 17:27:07+00:00
107,elonmusk,"@paulg Once prominent, they’re one of the few to have succeeded. Too much talent is chasing software, much like Hollywood has too much talent chasing acting.

It’s silly to have 10 talented entrepreneurs all chase same SaaS niche when they could be epically successful in heavy industry.",4114,367,2023-04-09 17:23:16+00:00
108,elonmusk,"@BillyM2k Yeah, it’s weird",16677,1088,2023-04-09 16:42:34+00:00
109,elonmusk,"@paulg Major misallocation of capital imo. Most on this list won’t make it.

Not enough talent in manufacturing &amp; heavy industries.",9505,819,2023-04-09 16:40:34+00:00
110,elonmusk,"@PeterDiamandis After AGI, yes",4810,401,2023-04-09 07:32:16+00:00
111,elonmusk,@JonErlichman 🎯,8089,396,2023-04-09 07:20:10+00:00
112,elonmusk,@FoxNews And they still haven’t invited me 😭,144509,10199,2023-04-09 07:11:25+00:00
113,elonmusk,@EMostaque !,3143,182,2023-04-09 07:00:59+00:00
114,elonmusk,"Starship is ready for launch 🚀

Awaiting regulatory approval",161346,14199,2023-04-09 06:07:02+00:00
115,elonmusk,"@WholeMarsBlog We need to predict what pedestrians will do based on their behavior, including limb angle &amp; direction of sight. 

FSD currently sees all pedestrians as cuboids, so is overly cautious.

Also, diffusion seems to be more compute-efficient than transformers for vision.",8288,688,2023-04-09 05:56:31+00:00
116,elonmusk,@ShitpostGate 🤣,14998,327,2023-04-09 05:48:12+00:00
117,elonmusk,@EndWokeness The gerontocracy is real,92952,6655,2023-04-09 05:45:03+00:00
118,elonmusk,"@BillyM2k I keep telling people I’m an alien, but no one believes me 😢",84989,6480,2023-04-09 05:38:06+00:00
119,elonmusk,🤯 https://t.co/iApQi5Hw44,142640,11681,2023-04-09 05:15:30+00:00
120,elonmusk,@MarinaMedvin I don’t understand his goal,34434,1979,2023-04-09 04:51:23+00:00
121,elonmusk,@iamharaldur Twitter,17468,873,2023-04-09 04:11:02+00:00
122,elonmusk,@StephanieLinTV @SFPD There must be video footage from nearby locations,7183,531,2023-04-09 03:30:25+00:00
123,elonmusk,@BillyM2k @ZubyMusic 🤣 true,2808,167,2023-04-09 03:27:33+00:00
124,elonmusk,@alainastruc @UpdatingOnRome 24 hour fitness,1617,87,2023-04-09 03:14:10+00:00
125,elonmusk,@TheRabbitHole84 This is messed up,20184,1714,2023-04-09 03:12:26+00:00
126,elonmusk,@debarghya_das 🎯,5545,258,2023-04-09 03:05:10+00:00
127,elonmusk,@SmokeAwayyy 🤯,3310,174,2023-04-09 02:36:11+00:00
128,elonmusk,"@stormrobinson @Riley_Gaines_ True. 

The issue is that nothing should make one morally unimpeachable or bad actors will be drawn to it as a shield for their bad actions.",5570,414,2023-04-09 01:52:32+00:00
129,elonmusk,@Riley_Gaines_ Cancel cancel culture,42649,5040,2023-04-09 01:30:21+00:00
130,elonmusk,I’m proudly half Canadian! https://t.co/DLJgbGi6Dh,304582,13579,2023-04-09 01:26:49+00:00
131,elonmusk,@davidmweissman True friends are true fortune,6871,721,2023-04-09 01:17:17+00:00
132,elonmusk,"@itshakeemz @DimaZeniuk @SpaceX @SirineAti @captainarve @andst7 @WholeMarsBlog @EvasTeslaSPlaid @GailAlfarATX @JaneidyEve @TeslaAIBot @1stMarsColonist I hesitate to say this, but it might be too pointy",2946,126,2023-04-09 01:07:06+00:00
133,elonmusk,"@DimaZeniuk @SpaceX @SirineAti @captainarve @andst7 @WholeMarsBlog @EvasTeslaSPlaid @GailAlfarATX @JaneidyEve @TeslaAIBot @1stMarsColonist And we need to add 3 more Raptor Vacuum engines, because it’s inevitable",3526,249,2023-04-09 01:03:23+00:00
134,elonmusk,@DimaZeniuk @SpaceX @SirineAti @captainarve @andst7 @WholeMarsBlog @EvasTeslaSPlaid @GailAlfarATX @JaneidyEve @TeslaAIBot @1stMarsColonist Will get bigger. Ship will probably stretch by another 10m or so.,20902,1211,2023-04-09 01:01:50+00:00
135,elonmusk,@teslaownersSV Got to break a few eggs to make an omelette … 🍳,113641,4902,2023-04-09 00:40:39+00:00
136,elonmusk,@Jason @DeanPreston @GrowSF Good question,2677,181,2023-04-09 00:33:35+00:00
137,elonmusk,"Friendship takes work, enmity is effortless",147310,21105,2023-04-09 00:32:27+00:00
138,elonmusk,@BillyM2k 🤣,4494,236,2023-04-09 00:20:16+00:00
139,elonmusk,@MarinaMedvin Wow,13015,1394,2023-04-09 00:16:27+00:00
140,elonmusk,@teslaownersSV @MuskUniversity Haha exactly,6007,440,2023-04-08 18:39:24+00:00
141,elonmusk,@natfriedman So many stories just like this,20430,1728,2023-04-08 18:14:08+00:00
142,elonmusk,@BillyM2k @Jason @garrytan @DavidSacks 💩 😂,2971,183,2023-04-08 18:09:09+00:00
143,elonmusk,@Rainmaker1973 1990,8482,570,2023-04-08 17:54:26+00:00
144,elonmusk,@GavinSBaker We’ve made some upgrades,1864,150,2023-04-08 11:11:46+00:00
145,elonmusk,https://t.co/I5Mdo8gsaZ,251180,21553,2023-04-08 11:00:04+00:00
146,elonmusk,"@BretWeinstein 1. Substack links were never blocked. Matt’s statement is false. 

2. Substack was trying to download a massive portion of the Twitter database to bootstrap their Twitter clone, so their IP address is obviously untrusted.

3. Turns out Matt is/was an employee of Substack.",5693,1107,2023-04-08 09:49:07+00:00
147,elonmusk,https://t.co/4IISLswuyI,191537,16784,2023-04-08 09:17:07+00:00
148,elonmusk,@ShitpostGate 🤣,9556,264,2023-04-08 09:15:02+00:00
149,elonmusk,@SpacePadreIsle ~120m,9504,402,2023-04-08 09:14:42+00:00
150,elonmusk,@MarketRebels Bwahaha,5731,378,2023-04-08 09:07:04+00:00
151,elonmusk,@ZubyMusic Yup,37679,2334,2023-04-08 09:00:52+00:00
152,elonmusk,@stevenmarkryan True,3718,231,2023-04-08 08:56:30+00:00
153,elonmusk,@bio_bootloader Bowie &amp; Bach are my two fav musicians,14363,942,2023-04-08 05:37:32+00:00
154,elonmusk,@stevenmarkryan Great point,9141,518,2023-04-08 05:34:58+00:00
